Phone_Name,Price
 Samsung Galaxy A50 ,"12,999"
 Samsung Galaxy M30s ,"12,999"
 Samsung Galaxy A30 ,"12,999"
 Samsung Galaxy M30 ,"11,999"
 Samsung Galaxy A10 ,"7,990"
 Samsung Galaxy A70 ,"21,720"
 Samsung Galaxy A51 ,"23,999"
 Samsung Galaxy A50S ,"17,499"
 Samsung Galaxy M40 ,"16,990"
 Samsung Galaxy A20 ,"10,991"
 Samsung Galaxy A71 ,"29,999"
 Samsung Galaxy A30s 128GB ,"15,999"
 Samsung Galaxy Note 10 Lite ,"38,999"
 Samsung Galaxy S10 Lite ,"39,999"
 Samsung Galaxy Note 10 Lite 8GB RAM ,"40,999"
 Samsung Galaxy S20 ,"66,999"
 Samsung Galaxy S20 Plus ,"73,999"
 Samsung Galaxy S20 Ultra 5G ,"92,999"
 Samsung Galaxy M60 ,"25,999"
 Samsung Galaxy A8s ,"29,999"
 Samsung Galaxy A30s ,"14,999"
 Samsung Galaxy S10 ,"52,500"
 Samsung Galaxy S10 Plus ,"60,100"
 Samsung Galaxy S9 Plus ,"27,999"
 Samsung Galaxy M20 ,"10,990"
 Samsung Galaxy A70s ,"25,999"
 Samsung Galaxy A20s ,"10,999"
 Samsung Galaxy Note 10 Plus ,"79,999"
 Samsung Galaxy M10 ,"7,990"
 Samsung Galaxy S8 ,"36,490"
 Samsung Galaxy A80 ,"28,499"
 Samsung Galaxy Note 10 ,"69,999"
 Samsung Galaxy J7 Max ,"11,046"
 Samsung Galaxy J6 ,"10,490"
 Samsung Galaxy J7 Pro ,"16,900"
 Samsung Galaxy J8 ,"13,130"
 Samsung Galaxy Note 9 ,"33,999"
 Samsung Galaxy S9 ,"22,999"
 Samsung Galaxy A8 Star ,"19,990"
 Samsung Galaxy M10s ,"8,999"
 Samsung Galaxy Note 8 ,"59,900"
 Samsung Galaxy A2 Core ,"5,290"
 Samsung Galaxy S10E ,"47,990"
 Samsung Galaxy J4 Plus ,"9,499"
 Samsung Metro 313 ,"2,025"
 Samsung Galaxy A7 (2018) ,"14,099"
 Samsung Galaxy A9 Pro ,"16,399"
 Samsung Galaxy A9 (2018) ,"21,999"
 Samsung Galaxy J7 Prime ,"15,995"
 Samsung Guru 1200 ,"1,100"
 Samsung Guru Music 2 ,"1,450"
 Samsung Galaxy S7 Edge ,"39,999"
 Samsung Galaxy J7 Nxt ,"10,990"
 Samsung Galaxy A8 Plus ,"16,900"
 Samsung Galaxy A6 Plus ,"15,990"
 Samsung Guru FM Plus ,"1,499"
 Samsung E1200 ,"1,100"
 Samsung Metro B350E ,"3,000"
 Samsung Galaxy J2 ,"6,799"
 Samsung Galaxy Note 9 512GB ,"64,000"
 Samsung Galaxy A7 128GB (2018) ,"18,280"
 Samsung Galaxy A9 (2018) 8GB RAM ,"24,940"
 Samsung Galaxy J7 ,"13,499"
 Samsung Galaxy S10 Plus 1TB ,"88,900"
 Samsung Galaxy M10 32GB ,"12,399"
 Samsung Galaxy A8 ,"26,945"
 Samsung Galaxy A5 ,"16,128"
 Samsung Galaxy Ace NXT ,"4,880"
 Samsung Galaxy A3 ,"12,074"
 Samsung Galaxy J5 ,"3,299"
 Samsung Galaxy Core 2 ,"5,759"
 Samsung Galaxy Grand 2 ,"15,999"
 Samsung Galaxy Core Prime ,"6,399"
 Samsung Galaxy E7 ,"15,000"
 Samsung Galaxy A7 ,"21,990"
 Samsung Galaxy J2 Pro ,"10,480"
 Samsung Galaxy S8 Plus ,"30,000"
 Samsung Galaxy On7 ,"9,977"
 Samsung Galaxy A5 (2016) ,"19,990"
 Samsung Galaxy A7 (2016) ,"17,900"
 Samsung Galaxy M20 4GB RAM ,"10,499"
 Samsung Galaxy J4 ,"6,924"
 Samsung Galaxy Grand Duos ,"14,299"
 Samsung Galaxy Note 3 ,"19,350"
 Samsung Galaxy On7 Pro ,"6,990"
 Samsung Galaxy J5 Prime ,"11,990"
 Samsung Z1 Tizen ,"4,212"
 Samsung Galaxy Core ,"9,999"
 Samsung Galaxy J7 Duo ,"10,640"
 Samsung Galaxy Grand Quattro ,"10,600"
 Samsung Galaxy C7 Pro ,"17,999"
 Samsung Galaxy J2 Core ,"6,190"
 Samsung Galaxy S9 Plus 128GB ,"45,995"
 Samsung Galaxy J2 Ace ,"8,090"
 Samsung Galaxy J2 (2018) ,"6,799"
 Samsung Galaxy Star Pro Duos ,"4,450"
 Samsung Galaxy J2 (2017) ,"6,000"
 Samsung Galaxy J7 Prime 32GB ,"12,150"
 Samsung Galaxy J6 Plus ,"11,999"
 Samsung Galaxy S Duos 3 ,"4,842"
 Samsung Galaxy Mega 5.8 I9152 ,"15,499"
 Samsung Galaxy Ace Duos S6802 ,"7,786"
 Samsung Galaxy S Duos ,"8,786"
 Samsung Galaxy Note 2 ,"24,927"
 Samsung Galaxy On5 Pro ,"5,990"
 Samsung Galaxy J6 64GB ,"9,490"
 Samsung Galaxy S6 Edge ,"23,999"
 Samsung Galaxy A6 64GB ,"16,990"
 Samsung Galaxy S7 ,"22,999"
 Samsung Galaxy S5 ,"33,999"
 Samsung Galaxy S Advance I9070 ,"13,572"
 Samsung Galaxy S4 ,"57,915"
 Samsung Galaxy A6 ,"19,999"
 Samsung Galaxy J1 Ace ,"5,570"
 Samsung Galaxy S3 Neo ,"22,140"
 Samsung Galaxy S6 edge Plus ,"40,000"
 Samsung Galaxy On5 ,"8,990"
 Samsung Galaxy S9 128GB ,"42,999"
 Samsung Rex 60 ,"3,243"
 Samsung Galaxy Grand Max ,"11,049"
 Samsung Galaxy E5 ,"11,375"
 Samsung Galaxy S3 ,"19,125"
 Samsung REX 70 S3802 ,"4,022"
 Samsung Galaxy Y Duos Lite ,"6,700"
 Samsung Galaxy On Nxt 64GB ,"10,990"
 Samsung Galaxy C9 Pro ,"21,999"
 Samsung Galaxy J7 (2016) ,"13,800"
 Samsung Galaxy Y S5360 ,"5,740"
 Samsung Galaxy S4 Mini ,"13,608"
 Samsung Galaxy Grand Neo ,"15,980"
 Samsung Galaxy On Nxt ,"16,799"
 Samsung Galaxy J1 ,"5,553"
 Samsung Z3 ,"7,558"
 Samsung Galaxy J1 4G (2017) ,"5,299"
 Samsung Galaxy J5 (2016) ,"9,999"
 Samsung Galaxy Young ,"5,499"
 Samsung Metro DUOS C3322 ,"7,000"
 Samsung Galaxy Ace S5830 ,"7,099"
 Samsung Galaxy J4 32GB ,"9,399"
 Samsung Galaxy S6 ,"32,289"
 Samsung Galaxy S8 Plus 128GB ,"66,900"
 Samsung Metro B312E ,"2,115"
 Samsung Galaxy J7 Nxt 3GB RAM ,"9,999"
 Samsung Galaxy S10 512GB ,"52,990"
 Samsung Guru E1207 ,"1,450"
 Samsung Galaxy Note 4 ,"31,499"
 Samsung Galaxy S Duos 2 ,"5,999"
 Samsung Galaxy S6 Edge 64GB ,"42,300"
 Samsung Galaxy Ace Plus S7500 ,"8,000"
 Samsung Galaxy Grand Prime 4G ,"8,628"
 Samsung Galaxy J Max ,"8,959"
 Samsung Galaxy Mega 6.3 i9200 ,"21,490"
 Samsung Galaxy S10 Plus 512GB ,"69,900"
 Samsung E2202 ,"1,956"
 Samsung REX 80 ,"4,613"
 Samsung Galaxy Grand Neo Plus ,"7,055"
 Samsung Galaxy On Nxt 16GB ,"11,200"
 Samsung Star 3 Duos S5222 ,"4,277"
 Samsung Rex 90 ,"5,450"
 Samsung Galaxy Trend Duos S7392 ,"5,490"
 Samsung Galaxy S2 I9100 ,"16,450"
 Samsung Galaxy On6 ,"17,600"
 Samsung Galaxy Star Advance G350E ,"3,999"
 Samsung Z4 ,"4,790"
 Samsung Galaxy Grand Prime ,"8,990"
 Samsung Galaxy On8 (2018) ,"19,990"
 Samsung Galaxy Note 3 Neo ,"17,999"
 Samsung Galaxy Alpha ,"20,999"
 Samsung Chat C3222 ,"3,795"
 Samsung Champ Deluxe Duos ,"3,003"
 Samsung Galaxy Y Duos S6102 ,"7,500"
 Samsung E1205 ,"3,419"
 Samsung Wave Y S5380 ,"5,803"
 Samsung Galaxy Fame ,"8,211"
 Samsung Galaxy S4 Zoom ,"20,990"
 Samsung Galaxy Note 5 ,"44,843"
 Samsung Galaxy Star ,"3,458"
 Samsung Galaxy J3 Pro ,"8,299"
 Samsung Galaxy Pocket Neo ,"5,099"
 Samsung Galaxy A7 (2017) ,"25,900"
 Samsung Galaxy S9 Plus 256GB ,"42,999"
 Samsung Galaxy Star 2 ,"4,490"
 Samsung Galaxy Ace Duos ,"9,054"
 Samsung Wave 3 S8600 ,"16,093"
 Samsung Galaxy Mega 2 ,"16,599"
 Samsung Galaxy S9 256GB ,"56,990"
 Samsung Galaxy Ace Dous I 589 ,"15,500"
 Samsung Champ Neo Duos C3262 ,"4,425"
 Samsung Galaxy M30 128GB ,"13,990"
 Samsung Guru Music E1282 ,"1,743"
 Samsung Galaxy J5 Prime 32GB ,"13,500"
 Samsung Galaxy On Max ,"19,900"
 Samsung Galaxy Note ,"19,990"
 Samsung Guru E1081 ,991
 Samsung C3011 ,"2,324"
 Samsung Hero E3213 ,"3,196"
 Samsung Champ DUOS E2652 ,"3,815"
 Samsung Galaxy Fit S5670 ,"5,490"
 Samsung Galaxy Pocket ,"6,357"
 Samsung Galaxy S Plus I9001 ,"8,899"
 Samsung Star Duos B7722 ,"9,561"
 Samsung Galaxy On8 ,"10,999"
 Samsung Galaxy J7 Prime 2 ,"12,889"
 Samsung Wave II S8530 ,"14,492"
 Samsung Galaxy S7 Edge 128GB ,"29,999"
 Samsung Galaxy S6 64GB ,"35,900"
 Samsung Galaxy S3 I9300 32GB ,"37,150"
 Samsung Hero Music E1232B ,"1,556"
 Samsung Guru B110 ,"1,585"
 Samsung Wave525 S5253 ,"4,990"
 Samsung Corby II S3850 ,"4,990"
 Samsung Galaxy Y Plus S5303 ,"5,016"
 Samsung Wave 575 S5753 ,"5,667"
 Samsung Star II S5263 ,"5,767"
 Samsung Galaxy Music Duos ,"6,725"
 Samsung S5333 Wave333 ,"7,207"
 Samsung Galaxy Chat ,"7,215"
 Samsung G361H ,"7,999"
 Samsung Galaxy Ace 3 ,"8,190"
 Samsung Galaxy Y Pro Duos B5512 ,"8,982"
 Samsung Galaxy Xcover 2 ,"15,000"
 Samsung Galaxy S5 Mini Duos ,"15,999"
 Samsung Omnia M ,"16,039"
 Samsung Galaxy S2 Plus ,"22,442"
 Samsung Galaxy Note Edge ,"40,406"
 Samsung Galaxy Note 5 64GB ,"55,490"
 Samsung Guru E1160i ,"1,361"
 Samsung C3010 ,"1,754"
 Samsung Metro C3520 ,"3,159"
 Samsung Corby TXT B3210 ,"4,108"
 Samsung Galaxy S Duos 3-VE ,"4,449"
 Samsung Galaxy J1 4G ,"5,553"
 Samsung Guru Dual 26 E1252 ,"1,748"
 Samsung Galaxy On7 Prime 4GB RAM ,"10,990"
 Samsung Galaxy Folder 2 ,"31,999"
 Samsung Galaxy A10s ,"8,499"
 Samsung Galaxy A10s 3GB RAM ,"9,499"
 Samsung Galaxy M30 32GB ,"9,499"
 Samsung Galaxy A20s 64GB ,"12,999"
 Samsung Galaxy M30s 128GB ,"14,999"
 Samsung Galaxy A50 6GB RAM ,"15,990"
 Samsung Galaxy A50s 6GB RAM ,"19,999"
 Samsung Galaxy A70s 8GB RAM ,"27,999"
 Samsung Galaxy S10 Plus 8GB RAM ,"66,900"
 Samsung Galaxy Note 10 Plus 512GB ,"89,999"
